,addressline1,addressline2,addressline3,addressline4,businessname,businesstype,businesstypeid,confidenceinmanagement,extractdate,fhrsid,hygiene,itemcount,latitude,localauthoritybusinessid,localauthoritycode,localauthorityemailaddress,localauthorityname,localauthoritywebsite,longitude,postcode,ratingdate,ratingkey,ratingvalue,returncode,schemetype,structural
63850,70a Carter Lane,Mansfield,Nottinghamshire,,1st Class Pizza,Takeaway/sandwich shop,7844,10,,223271,5,,53.14098600000000,19393,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.18018600000000,NG18 3DH,2013-05-07,fhrs_4_en-GB,4,,FHRS,5
63851,281 Nottingham Road,Mansfield,Nottinghamshire,,281 Restaurant & Rooms,Hotel/bed & breakfast/guest house,7842,5,,223179,5,,53.12872500000000,58467,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.19339200000000,NG18 4SE,2013-10-30,fhrs_4_en-GB,4,,FHRS,10
63852,38 White Hart Street,Mansfield,Nottinghamshire,,38 White Hart Street,Restaurant/Cafe/Canteen,1,,,729095,,,53.14360600000000,59710,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.19526600000000,NG18 1DG,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
63853,Botany Avenue,Mansfield,Nottinghamshire,,384 (Mansfield) Squadron A.T.C,Other catering premises,7841,,,719026,,,,54828,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,,,2010-05-19,fhrs_exempt_en-GB,Exempt,,FHRS,
63854,Enterprise Close,Mansfield,Nottinghamshire,,3D Vending Supplies Ltd,Manufacturers/packers,7839,,,719068,,,53.16083100000000,59032,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.22255400000000,NG19 7JY,2013-04-25,fhrs_exempt_en-GB,Exempt,,FHRS,
63855,40 Devon Drive,Mansfield,Nottinghamshire,,5th Mans Sea Scouts Group HQ,Other catering premises,7841,,,222929,,,53.14943800000000,52747,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.21111200000000,NG19 6SQ,2013-10-10,fhrs_exempt_en-GB,Exempt,,FHRS,
63856,200 Lichfield Lane,Mansfield,Nottinghamshire,,7 Day Catering Ltd (The Coal Authority),Restaurant/Cafe/Canteen,1,0,,223075,0,,53.12638000000000,28082,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.18161500000000,NG18 4RG,2013-07-24,fhrs_5_en-GB,5,,FHRS,5
63857,2 Skerry Hill,Mansfield,Nottinghamshire,,A Mortimer Family Butcher Ltd,Retailers - other,4613,5,,223274,5,,53.14359600000000,58087,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.17929900000000,NG18 2PR,2014-02-25,fhrs_5_en-GB,5,,FHRS,5
63858,1 Bridge Street,Mansfield,Nottinghamshire,,A UK Chicken,Takeaway/sandwich shop,7844,,,716826,,,53.14404500000000,59467,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.19232800000000,NG18 1AL,,fhrs_awaitinginspection_en-GB,AwaitingInspection,,FHRS,
63859,34 Station Street,Mansfield Woodhouse,Nottinghamshire,,A.D.N. Pizzeria,Takeaway/sandwich shop,7844,10,,223355,5,,53.16391700000000,58510,263,envhealth@mansfield.gov.uk,Mansfield,http://www.mansfield.gov.uk,-1.19725000000000,NG19 8AB,2013-04-09,fhrs_3_en-GB,3,,FHRS,10
