,businessname,ratingvalue,structural,hygiene,confidenceinmanagement,ratingdate,latitude,longitude
267973,@ Your Convenience,5,0,0,0,2013-10-24,51.398827,-1.326104
267974,1st Inkpen & Kintbury Scout Group,5,0,0,0,2013-11-15,51.398542,-1.445028
267975,3 Bees Forge Stores,4,5,10,5,2011-08-26,51.378626,-1.198193
267976,3 Blues Reading Ltd,5,5,5,5,2014-11-21,51.437786,-1.0752
267977,42 Engineer Regiment Dennison Barracks,4,0,10,0,2014-02-11,51.453824,-1.282724
267978,7 Day Catering Ltd At J Sainsbury Plc,5,5,5,5,2014-07-10,51.442987,-1.062087
267979,7 Day Catering Ltd At J Sainsbury Plc,5,5,0,5,2013-08-20,51.398468,-1.319972
267980,99P Stores Limited,Exempt,nan,nan,nan,2013-11-19,51.400029,-1.324074
267981,A & S Meats (Newbury),5,0,0,5,2012-11-05,51.399854,-1.310981
267982,A Little Cake,5,0,0,0,2012-05-02,,
267983,A2 Dominion Housing Group,5,5,5,5,2014-11-04,51.395703,-1.31767
267984,A2 Dominion Housing Group,5,0,0,0,2013-03-14,51.399144,-1.259487
267985,A4 Kebab,3,5,10,10,2013-10-17,,
267986,A4 Snackbar,4,5,10,5,2013-11-13,,
267987,Abacus Day Nursery,5,5,5,5,2013-11-26,51.411755,-1.332011
267988,ABM Catering At Denefield School,4,5,10,5,2013-09-05,51.471532,-1.056003
267989,Accent Catering At Mentor Graphics (UK) Ltd,5,0,0,5,2014-02-12,51.404455,-1.305895
267990,"Ace Space, The",5,0,0,0,2013-07-26,51.398236,-1.328097
267991,Acres of Fun Ltd,5,5,0,0,2014-01-30,51.45641,-1.283706
267992,Adventure Dolphin Centre,5,0,0,0,2014-03-16,51.485941,-1.084898
267993,Age Concern Fairclose Day Centre,5,5,5,0,2013-08-09,51.396467,-1.325449
267994,Aja.Foods,5,0,5,5,2014-04-17,51.398827,-1.326104
267995,Alder Bridge School,5,0,0,0,2013-02-26,51.398596,-1.133632
267996,Aldermaston Parish Hall,Exempt,nan,nan,nan,2013-03-07,51.383197,-1.152575
267997,Aldermaston Recreational Society,4,5,10,5,2014-02-11,51.363368,-1.14122
267998,Aldermaston Stores,3,5,10,10,2014-09-15,51.384144,-1.152989
267999,Aldermaston Tea Rooms,2,15,10,10,2013-08-15,51.400991,-1.13524
268000,Aldi Foodstore Ltd,5,0,0,0,2013-03-23,51.406813,-1.320222
268001,Aldi Stores Limited,5,0,0,0,2013-01-30,51.443818,-1.023983
268002,Alfresco Cuisine,5,0,0,5,2013-03-09,,
268003,Ali Baba Dial A Curry,4,10,5,5,2013-07-19,51.402797,-1.262706
268004,Alibia,5,0,0,0,2013-03-27,,
268005,Amy Griffin,5,0,0,0,2013-03-23,,
268006,Anderson Hill Day Centre,5,0,0,0,2014-10-01,51.397336,-1.06098
268007,Andi's Finest - True Taste Of Germany Ltd,5,0,5,0,2014-12-01,,
268008,Angel Cakes,4,0,0,10,2014-09-23,,
268009,"Angel Inn,The",4,10,0,5,2014-11-07,51.397415,-1.175469
268010,Angell's Catering,5,5,0,5,2013-07-19,,
268011,Annie Assheton,4,0,0,10,2012-03-24,,
268012,Apetito Ltd,5,0,0,0,2013-08-09,51.404497,-1.317769
268013,Apricot Day Nursery,4,10,5,5,2009-09-01,51.479004,-1.132845
268014,Aquaforno Ltd,5,0,0,0,2012-10-25,51.44535,-1.097365
268015,ARA Catering,5,5,5,5,2013-10-10,,
268016,Argos Ltd,Exempt,nan,nan,nan,2015-01-15,51.385068,-1.318044
268017,Art Of Siam,4,10,10,0,2013-01-21,51.404827,-1.325111
268018,"Artisan Burger Wagon Co, The",5,0,5,5,2013-08-06,,
268019,Asian Spice,5,5,5,5,2014-07-15,51.469686,-1.044581
268020,Ask,5,5,0,5,2014-07-10,,
268021,Audlen House Day Nursery,3,5,10,10,2014-11-24,51.397163,-1.249041
268022,Audley Inglewood,4,0,5,10,2014-02-24,,
268023,Avenance Catering @ Hanson Thermalite Ltd,2,10,15,10,2013-06-21,51.398373,-1.234661
268024,"Avenue Store, The",4,0,5,10,2013-03-08,51.442694,-1.054712
268025,Avon Fish Bar,5,5,5,5,2013-06-21,51.406825,-1.299217
268026,"Bacon Arms Hotel, The",5,5,0,5,2014-02-16,51.406108,-1.325767
268027,Badgers Hill PRU,5,5,0,0,2014-11-17,51.443959,-1.054312
268028,Baguette de France,5,5,5,0,2014-03-01,51.4023,-1.257985
268029,Bahgecha Restaurant,4,10,5,5,2013-07-17,51.401331,-1.064751
268030,Baked by Butterflies,5,0,5,0,2014-11-06,,
268031,"Bakery Cafe, The",5,0,0,0,2014-12-21,51.376979,-1.064529
268032,Baking Belle,5,0,5,0,2013-09-16,,
268033,Baking Bug,5,0,0,5,2014-12-16,,
268034,Banquet In A Box,5,0,0,5,2013-08-12,51.400134,-1.450845
268035,Banquet In A Box,5,5,5,5,2013-03-20,,
268036,"Banqueting Table, The",5,0,0,0,2013-03-23,,
268037,Bar Sport,4,10,0,5,2014-11-18,51.4,-1.325253
268038,Barkers Hospitality,5,0,0,5,2013-03-15,,
268039,Bartlett Mitchell Ltd,4,5,10,0,2013-09-06,51.435236,-1.074474
268040,Basildon Extra,5,0,0,0,2014-12-05,51.485138,-1.145272
268041,Basildon Park - National Trust Enterprises Ltd,4,10,0,10,2013-02-19,51.499179,-1.121557
268042,Basildon Village Hall,5,5,0,0,2013-01-25,51.489015,-1.145459
268043,Bastable Brothers,4,10,5,0,2013-05-28,51.400134,-1.450845
268044,Baxterstorey At GIST,4,10,5,5,2014-11-05,51.399128,-1.230465
268045,Baxterstorey Ltd At Institute For Animal Health,5,5,0,0,2014-11-07,51.517354,-1.254604
268046,Baxterstorey Ltd At Motor Insurance Repair Research Centre,4,10,5,5,2014-06-18,51.397315,-1.226787
268047,Baxterstorey Ltd At Porsche Cars GB,5,5,5,0,2013-08-28,51.441535,-1.063743
268048,"Bear, The",5,5,0,0,2013-12-05,51.418168,-1.5134
268049,Beaver's Pots,5,0,0,5,2015-01-28,,
268050,Beechwood Farm,5,5,5,0,2011-09-08,,
268051,Beenham Working Mens Club,5,0,0,0,2010-02-01,51.415632,-1.15524
268052,"Bell At Boxford, The",1,10,15,20,2015-01-22,51.440121,-1.391104
268053,Bell Coffee Shop At Vodafone,Exempt,nan,nan,nan,2013-07-26,51.416693,-1.319759
